id,name,code,user_type_id/id,chart_template_id/id,group_id/id,reconcile
account_common_101,Fons Social,101,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_101,False
account_common_102,Capital Social,102,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_102,False
account_common_108,Accions o participacions pròpies en situacions especials,108,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_108,False
account_common_109,Accions o participacions pròpies per reducció de capital,109,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_109,False
account_common_110,Prima d’emissió,110,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_110,False
account_common_112,Reserva legal,112,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_112,False
account_common_113,Reserves Estatutàries,113,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_113,False
account_common_114,Reserves Voluntàries,114,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_114,False
account_common_118,Aportacions de socis o propietaris,118,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_118,False
account_common_119,Altres reserves,119,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_119,False
account_common_131,Donacions i llegats de capital,131,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_131,False
account_common_141,Provisió per tributs,141,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_141,True
account_common_143,"Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat",143,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_143,True
account_common_145,Provisió per actuacions mediambientals,145,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_145,True
account_common_160,Deutes a llarg termini amb entitats de crèdit vinculades,160,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_160,False
account_common_161,"Proveïdors d’immobilitzat a llarg termini, parts vinculades",161,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_161,False
account_common_162,"Creditors per arrendament financer a llarg termini, parts vinculades",162,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_162,False
account_common_163,Altres deutes a llarg termini amb parts vinculades,163,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_163,False
account_common_170,Deutes a llarg termini amb entitats de crèdit,170,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_170,False
account_common_171,Deutes a llarg termini,171,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_171,False
account_common_173,Proveïdors d’immobilitzat a llarg termini,173,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_173,False
account_common_174,Creditors per arrendament financer a llarg termini,174,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_174,False
account_common_175,Efectes a pagar a llarg termini,175,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_175,False
account_common_177,Obligacions i bons,177,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_177,False
account_common_179,Deutes representats en altres valors negociables,179,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_179,False
account_common_180,Fiances rebudes a llarg termini,180,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_180,False
account_common_181,Bestretes rebudes per vendes o prestacions de serveis a llarg termini,181,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_181,False
account_common_185,Dipòsits rebuts a llarg termini,185,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_185,False
account_common_194,Capital emès pendent d’inscripció al Registre de Societats,194,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_common,l10n_ad.account_group_194,False
account_common_200,Despeses d’establiment,200,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_200,False
account_common_201,Investigació,201,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_201,False
account_common_202,Desenvolupament,202,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_202,False
account_common_203,Concessions administratives,203,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_203,False
account_common_205,Fons de comerç,205,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_205,False
account_common_206,Drets de traspàs,206,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_206,False
account_common_207,Aplicacions informàtiques,207,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_207,False
account_common_208,Altre immobilitzat intangible,208,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_208,False
account_common_209,Bestretes per immobilitzat intangible,209,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_209,False
account_common_210,Terrenys i béns naturals,210,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_210,False
account_common_211,Construccions,211,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_211,False
account_common_212,Instal·lacions tècniques,212,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_212,False
account_common_213,Maquinària,213,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_213,False
account_common_214,Utillatge,214,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_214,False
account_common_215,Altres instal·lacions,215,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_215,False
account_common_216,Mobiliari,216,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_216,False
account_common_217,Equips per a processos d’informació,217,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_217,False
account_common_218,Elements de transport,218,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_218,False
account_common_219,Altre immobilitzat tangible,219,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_219,False
account_common_220,Inversions en terrenys i béns naturals,220,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_220,False
account_common_221,Inversions en construccions,221,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_221,False
account_common_230,Adaptació de terrenys i béns naturals,230,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_230,False
account_common_231,Construccions en curs,231,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_231,False
account_common_232,Instal·lacions tècniques en muntatge,232,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_common,l10n_ad.account_group_232,False
