id,name,code,user_type_id/id,chart_template_id/id,group_id/id,reconcile
account_full_100,Capital social,100,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_100,False
account_full_115,Reserves per accions pròpies,115,account.data_account_type_equity,l10n_ad.account_chart_template_full,l10n_ad.account_group_115,False
account_full_116,Reserva de revaloració,116,account.data_account_type_equity,l10n_ad.account_chart_template_full,l10n_ad.account_group_116,False
account_full_120,Remanente,120,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_120,False
account_full_121,Resultados negativos de ejercicios anteriores,121,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_121,False
account_full_129,Resultado del ejercicio,129,account.data_unaffected_earnings,l10n_ad.account_chart_template_full,l10n_ad.account_group_129,False
account_full_130,Subvenciones oficiales de capital,130,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_130,False
account_full_132,"Otras subvenciones, donaciones y legados",132,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_132,False
account_full_146,Provisión para reestructuraciones,146,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_146,True
account_full_189,Garantías financieras,189,account.data_account_type_non_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_189,False
account_full_204,Propietat industrial,204,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_204,False
account_full_240,Participacions a llarg termini en parts vinculades,240,account.data_account_type_fixed_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_240,False
account_full_466,Remuneraciones mediante sistemas de aportación definida pendientes de pago,466,account.data_account_type_payable,l10n_ad.account_chart_template_full,l10n_ad.account_group_466,True
account_full_490,Deterioro de valor de créditos por operaciones comerciales,490,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_490,False
account_full_551,Cuenta corriente con socios y administradores,551,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_551,False
account_full_569,Garantías financieras a corto plazo,569,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_569,False
account_full_580,Inmovilizado,580,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_580,False
account_full_581,Inversiones con personas y entidades vinculadas,581,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_581,False
account_full_582,Inversiones financieras,582,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_582,False
account_full_583,"Existencias, deudores comerciales y otras cuentas a cobrar",583,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_583,False
account_full_584,Otros activos,584,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_584,False
account_full_585,Provisiones,585,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_585,False
account_full_586,Deudas con características especiales,586,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_586,False
account_full_587,Deudas con personas y entidades vinculadas,587,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_587,False
account_full_588,Acreedores comerciales y otras cuentas a pagar,588,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_588,False
account_full_589,Otros pasivos,589,account.data_account_type_current_liabilities,l10n_ad.account_chart_template_full,l10n_ad.account_group_589,False
account_full_599,Deterioro de valor de inmovilizado no corriente mantenido para la venta,599,account.data_account_type_current_assets,l10n_ad.account_chart_template_full,l10n_ad.account_group_599,False
account_full_643,Retribuciones mediante sistemas de aportación definida,643,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_643,False
account_full_650,Pérdidas de créditos comerciales incobrables,650,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_650,False
account_full_659,Otras pérdidas en gestión corriente,659,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_659,False
account_full_663,"Pèrdues per venda, venciment o valoració d’instruments financers pel seu valor raonable",663,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_663,False
account_full_671,Pérdidas procedentes del inmovilizado material,671,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_671,False
account_full_691,Pérdidas por deterioro del inmovilizado material,691,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_691,False
account_full_694,Pérdidas por deterioro de créditos por operaciones comerciales,694,account.data_account_type_expenses,l10n_ad.account_chart_template_full,l10n_ad.account_group_694,False
account_full_763,Beneficios de cartera de negociación,763,account.data_account_type_revenue,l10n_ad.account_chart_template_full,l10n_ad.account_group_763,False
account_full_791,Reversión del deterioro del inmovilizado material,791,account.data_account_type_revenue,l10n_ad.account_chart_template_full,l10n_ad.account_group_791,False
account_full_794,Reversión del deterioro de créditos por operaciones comerciales,794,account.data_account_type_revenue,l10n_ad.account_chart_template_full,l10n_ad.account_group_794,False
account_full_795,Exceso de provisión por retribuciones al personal,795,account.data_account_type_revenue,l10n_ad.account_chart_template_full,l10n_ad.account_group_795,False
